100,,,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan�s Performance,,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
Contract Name,Organization Marketing Name,Parent Organization,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults � Medication Review,C10: Care for Older Adults � Functional Status Assessment,C11: Care for Older Adults � Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: DiabetesCare � Eye Exam,C14: DiabetesCare � Kidney Disease Monitoring,C15: DiabetesCare � Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center � Foreign Language Interpreter and TTY Availability,D01: Call Center � Foreign Language Interpreter and TTY Availability,D02: Appeals Auto�Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Beneficiary Access and Performance Problems,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: High Risk Medication,D12: Medication Adherence for DiabetesMedications,D13: MedicatHypertension for Hypertension (RAS antagonists),D14: Medication Adherence for Cholesterol (Statins),D15: MTM Program Completion Rate for CMR
"ULTIMATE HEALTH PLANS, INC.",Ultimate Health Plans,"ULTIMATE HEALTH PLAN, INC.",0,0.49,0.72,0,0,0.53,0.91,0,0,0,0,0,0.69,0.96,0.73,0.6,0.64,0.52,0.17,0.85,0.76,0.91,0.86,0.88,0.84,0.29,0.17,1,0,0,0,0.76,0.8,3.5,0,0.29,0.17,1,0,0.88,0.93,0.96,0.06,0.86,0.83,0.79,0.15
MEMORIAL HERMANN HEALTH PLAN,Memorial Hermann Health Insurance Company,Memorial Hermann Healthcare System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STANFORD HEALTH CARE ADVANTAGE,Stanford Health Care Advantage,Stanford Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENTERS PLAN FOR HEALTHY LIVING, LLC",Centers Plan for FIDA Care Complete,"Centers Plan for Healthy Living, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSTELLATION HEALTH, LLC.",Constellation Health,"Constellation Health, LLC.",0,0,0.45,0,0,0,0,-1,0.33,0.71,0.87,0,0.56,0.94,0.13,0.3,0,0,0,0.84,0.69,0.93,0.9,0.93,0.76,0.95,0.42,0.8,0,0,0,0.82,0.8,38.5,0,0.95,0.42,0.8,0,0.97,0.92,0.98,0.08,0.66,0.7,0.59,0.81
"VIRGINIA PREMIER HEALTH PLAN, INC.",Virginia Premier CompleteCare,Virginia Cwlth University Hlth System Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMMUNITY CARE ALLIANCE OF ILLINOIS, NFP","Community Care Alliance of Illinois, NFP",Family Health Network,0,0,0.55,0,0,0,0,-1,0,0,0,0,0,0,0.51,0.44,0,0,0,0,0.75,0.83,0.82,0.77,0.85,0,0.3,1,0,0,0,0.83,0.81,0,0,0,0.3,1,0,0.8,0,0.99,0.04,0.7,0.62,0.7,0.09
"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.64,0.65,0.7,0.68,0.78,0.51,0.92,0,0,0,0,0.49,0.6,0.87,0.7,0.59,0.75,0.56,0.11,0.84,0.71,0.87,0.83,0.8,0.81,0.32,0.14,0.8,0,1,0.98,0.96,0.98,0.3,0.94,0.32,0.14,0.8,0,0.82,0.89,0.98,0.03,0.71,0.75,0.68,0.46
"OXFORD HEALTH PLANS (NJ), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.29,0.24,0,0,0,0,0,0.97,1,1,1,0,0.89,0.92,0.86,0,0,0,0.02,0,0,0,0,0,0,0.08,0.06,1,0,0,0,0.96,0.98,0,0,0.08,0.06,1,0,0,0,1,0.09,0.88,0.83,0.78,0.51
"NORTH SHORE-LIJ HEALTH PLAN, INC.","North Shore-LIJ Health Plan, Inc.","North Shore-LI Jewish Health System, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AHF MCO OF FLORIDA, INC.",AHF,AIDS Healthcare Foundation,0.69,0.69,0.81,0.74,0.85,0,0.93,-1,0.91,0.94,0.95,0,0.48,0.87,0.73,0.7,0,0,0.08,0.83,0.79,0.85,0.88,0.88,0.89,0.49,0.13,1,0,0,0,0.83,0.81,0,0,0.49,0.13,1,0,0.89,0.9,0.99,0.05,0.83,0.83,0.83,0.36
"AETNA HEALTH, INC. (NJ)",Aetna Medicare,Aetna Inc.,0.72,0.74,0.76,0.69,0.76,0.47,0.89,0,0,0,0,0.32,0.69,0.87,0.79,0.8,0.78,0.6,0.1,0.86,0.74,0.9,0.86,0.86,0.86,0.2,0.05,0.4,0,0.83,0.91,0.99,0.98,0.5,0.92,0.2,0.05,0.4,0,0.79,0.91,0.99,0.09,0.79,0.83,0.77,0.39
"HORIZON HEALTHCARE OF NEW JERSEY, INC.",Horizon Blue Cross Blue Shield of New Jersey,"Horizon Healthcare Services, Inc.",0.63,0.53,0.73,0.71,0.82,0.48,0.95,0,0,0,0,0.1,0.68,0.91,0.77,0.75,0.88,0.6,0.11,0.82,0.75,0.88,0.85,0.79,0.84,0.36,0.07,0.8,0,0.95,0.8,0.71,0.72,18.3,0.77,0.36,0.07,0.8,0,0.8,0.89,0.99,0.08,0.79,0.81,0.76,0.4
"AMERIHEALTH HMO, INC.",AmeriHealth 65 Preferred HMO,"Independence Health Group, Inc.",0.74,0.65,0.72,0.74,0.86,0.46,0.88,0,0,0,0,0,0.55,0.95,0.72,0.78,0.77,0.58,0.1,0.82,0.75,0.85,0.84,0.79,0.83,0.25,0.22,0.6,0,0.96,0.87,0.94,0.96,9.7,0.61,0.25,0.22,0.6,0,0.81,0.89,0.99,0.08,0.76,0.81,0.77,0.45
PRESBYTERIAN HEALTH PLAN,Presbyterian Senior Care (HMO),Presbyterian Healthcare Services,0.72,0.66,0.79,0.74,0.86,0.56,0.99,0,0,0,0,0.31,0.63,0.94,0.88,0.8,0.8,0.53,0.09,0.8,0.77,0.89,0.86,0.89,0.86,0.11,0.03,0.8,0,0.87,0.89,0.89,0.84,0,0,0.11,0.03,0.8,0,0.86,0.91,0.99,0.05,0.76,0.79,0.77,0.54
"PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian MediCare PPO,Presbyterian Healthcare Services,0.75,0.7,0.76,0.66,0.81,0.53,0.89,0,0,0,0,0.18,0.66,0.91,0.81,0.75,0.84,0.53,0.09,0.79,0.75,0.86,0.85,0.85,0.8,0.08,0.05,0.8,0,0.88,0.85,0.89,0.84,0.7,0,0.08,0.05,0.8,0,0.83,0.9,0.99,0.06,0.78,0.82,0.78,0.76
PREMIER HEALTH INSURING CORPORATION,Premier Health Plan,Premier Health Partners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEALTH NET COMMUNITY SOLUTIONS, INC.",Health Net Cal MediConnect Medicare Medicaid Plan,"Health Net, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMERIGROUP NEW JERSEY, INC.",Amerigroup Community Care,Anthem Inc.,0.6,0.51,0.69,0.74,0.79,0.55,0.93,0.42,0.86,0.8,0.93,0,0.67,0.92,0.67,0.68,0.58,0.8,0.13,0,0.72,0.81,0,0.82,0,0.59,0.17,1,0,0.96,1,0.99,0.98,2.5,0,0.59,0.17,1,0,0.83,0,0.99,0.07,0.77,0.75,0.69,0.16
HEALTH CARE SERVICE CORPORATION,Lovelace Medicare Plan,Health Care Service Corporation,0.69,0.53,0.77,0.65,0.81,0.56,0.62,0,0,0,0,0.23,0.59,0.87,0.43,0.53,0.77,0.67,0.09,0.79,0.73,0.8,0.82,0.79,0.81,0.2,0.13,0.8,0,0.88,0.67,0.95,0.98,0,0,0.2,0.13,0.8,0,0.83,0.92,0.99,0.02,0.76,0.8,0.76,0.07
VOLUNTEER STATE HEALTH PLAN,BlueCare Plus Tennessee,BlueCross BlueShield of Tennessee,0,0,0.64,0,0,0,0,0.88,0.82,0.16,0.68,0,0.65,0.95,0.53,0.7,0,0,0,0.84,0.77,0.9,0.85,0.89,0.84,0.38,0.14,1,0,0,0,0.61,0.69,27.6,0,0.38,0.14,1,0,0.88,0.92,0.99,0.18,0.72,0.75,0.73,0.29
"PRUITTHEALTH PREMIER, INC.",PruittHealth Premier (HMO SNP),"UNICO Premier, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVP HEALTH PLAN, INC.",MVP HEALTH CARE,"MVP Health Care, Inc.",0.78,0.75,0.88,0.64,0.81,0.57,0.99,0,0,0,0,0.16,0.82,0.91,0.91,0.87,0.82,0.55,0.1,0.87,0.82,0.9,0.88,0.87,0.87,0.05,0.11,1,0,0.99,0.9,0.95,0.95,1.4,1,0.05,0.11,1,0,0.87,0.92,0.98,0.11,0.85,0.87,0.82,0.19
"OXFORD HEALTH PLANS (NY), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.69,0.67,0.76,0.77,0.76,0.46,0.8,0,0,0,0,0.42,0.67,0.88,0.8,0.51,0.78,0.59,0.11,0.8,0.67,0.88,0.82,0.8,0.82,0.21,0.1,1,0,0.99,0.99,0.96,0.98,0.3,0.83,0.21,0.1,1,0,0.81,0.89,0.99,0.03,0.77,0.79,0.72,0.29
"AETNA HEALTH, INC. (NY)",Aetna Medicare,Aetna Inc.,0.75,0.69,0.78,0.68,0.79,0.52,0.91,0,0,0,0,0.34,0.75,0.91,0.83,0.81,0.77,0.65,0.09,0.84,0.73,0.89,0.85,0.84,0.83,0.24,0.18,0.4,0,0.89,0.89,0.99,0.98,2.1,0,0.24,0.18,0.4,0,0.79,0.87,0.99,0.08,0.78,0.83,0.76,0.41
HEALTH INSURANCE PLAN OF GREATER NEW YORK,HIP Health Plan of Greater New York,"EmblemHealth, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOUCHSTONE HEALTH HMO, INC.",Touchstone Health,"Touchstone Health Partnership, Inc",0.51,0.56,0.6,0.72,0.81,0.47,0.84,0.59,0.48,0.8,0.87,0.25,0.71,0.91,0.69,0.48,0.69,0.69,0.1,0.79,0.69,0.83,0.81,0.78,0.84,0.41,0.3,1,0,0.79,0.7,0.91,0.82,0,0,0.41,0.3,1,0,0.79,0.85,0.99,0.1,0.71,0.71,0.66,0.02
"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.",Fidelis Care,"The New York State Catholic Health Plan, Inc.",0.74,0.66,0.68,0.71,0.77,0.49,0.96,-1,0.95,0.8,0.9,0.62,0.8,0.89,0.82,0.76,0.91,0.7,0.11,0.82,0.72,0.86,0.85,0.84,0.87,0.36,0.08,1,0,0.86,0.86,0.92,0.95,5,0.78,0.36,0.08,1,0,0.84,0.89,0.99,0.04,0.76,0.77,0.71,0.27
HEALTH INSURANCE PLAN OF GREATER NEW YORK,EmblemHealth Medicare HMO,"EmblemHealth, Inc.",0.78,0.77,0.72,0.73,0.78,0.52,0.96,0.5,0.82,0.6,0.69,0.53,0.75,0.92,0.78,0.68,0.76,0.65,0.12,0.75,0.66,0.84,0.81,0.82,0.83,0.14,0.04,1,0,0.93,0.79,0.92,0.95,0.6,0.48,0.14,0.04,1,0,0.83,0.89,0.98,0.05,0.76,0.78,0.72,0.57
"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",0.77,0.7,0.77,0.71,0.79,0.49,0.93,0,0,0,0,0.15,0.72,0.9,0.82,0.84,0.83,0.57,0.09,0.85,0.75,0.93,0.86,0.83,0.86,0.04,0.09,0.4,0,1,0.82,0.94,0.89,0.2,0.2,0.04,0.09,0.4,0,0.84,0.93,0.99,0.08,0.82,0.87,0.81,0.12
"LIBERTY HEALTH ADVANTAGE, INC.",Liberty Health Advantage,"Liberty Health Advantage, Inc.",0.7,0.71,0.63,0.73,0.77,0.49,0.94,0.53,0.65,0.76,0.81,0,0.7,0.91,0.72,0.64,0,0.68,0.11,0.77,0.67,0.87,0.8,0.8,0.8,0.45,0.26,0.8,0,0.86,0.77,0.97,0.93,0,0,0.45,0.26,0.8,0,0.83,0.87,0.99,0.08,0.67,0.63,0.6,0.07
"EMPIRE HEALTHCHOICE ASSURANCE, INC.",Empire BlueCross BlueShield,Anthem Inc.,0.67,0.63,0.71,0.7,0.78,0.46,0.89,0,0,0,0,0.34,0.64,0.89,0.76,0.66,0.74,0.56,0.12,0.82,0.69,0.84,0.85,0.79,0.82,0.23,0.04,1,0,0.96,0.93,0.99,0.98,7.3,0.78,0.23,0.04,1,0,0.75,0.88,0.99,0.06,0.78,0.83,0.76,0.22
INDEPENDENT HEALTH BENEFITS CORPORATION,Independent Health,"Independent Health Association, Inc.",0.76,0.69,0.82,0.72,0.82,0.52,0.94,0,0,0,0,0.29,0.77,0.93,0.82,0.78,0.93,0.65,0.09,0.85,0.78,0.93,0.88,0.91,0.83,0.12,0.08,0.6,0,0,0,0.96,0.91,14.2,0,0.12,0.08,0.6,0,0.9,0.95,0.96,0.08,0.8,0.86,0.79,0.21
"ELDERPLAN, INC.",Elderplan,"Elderplan, Inc.",0.6,0.55,0.66,0.73,0.75,0.52,0.82,0.88,0.64,0.94,0.82,0.05,0.63,0.93,0.7,0.51,0.65,0.71,0.11,0.78,0.69,0.82,0.8,0.78,0.84,0.22,0.19,0.8,0,0.95,0.86,0.98,0.97,1.5,0,0.22,0.19,0.8,0,0.79,0.84,0.98,0.08,0.71,0.71,0.65,0.33
"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","Lifetime Healthcare, Inc.",0.8,0.74,0.84,0.66,0.76,0.56,0.98,0,0,0,0,0.16,0.77,0.92,0.84,0.78,0.84,0.57,0.09,0.84,0.8,0.91,0.86,0.84,0.85,0.04,0.12,0.4,0,0.98,0.87,0.94,0.89,1.1,0.44,0.04,0.12,0.4,0,0.85,0.93,0.98,0.09,0.83,0.85,0.81,0.12
"MANAGED HEALTH, INC.",Healthfirst Medicare Plan,"Healthfirst, Inc.",0.81,0.71,0.73,0.72,0.82,0.62,0.94,-1,0.87,0.6,0.85,0.57,0.78,0.94,0.74,0.7,0.77,0.76,0.11,0.8,0.71,0.87,0.83,0.86,0.82,0.08,0.09,1,0,0.97,0.96,0.94,0.87,1,0.74,0.08,0.09,1,0,0.85,0.87,0.99,0.05,0.77,0.76,0.69,0.29
"WELLCARE OF NEW YORK, INC.",WellCare,"WellCare Health Plans, Inc.",0.68,0.63,0.66,0.7,0.78,0.53,0.85,0.24,0.74,0.62,0.78,0.15,0.68,0.93,0.69,0.57,0.74,0.71,0.12,0.8,0.72,0.84,0.83,0.79,0.84,0.28,0.19,0,0,0.89,0.96,0.82,0.77,13.4,0.68,0.28,0.19,0,0,0.82,0.87,0.99,0.07,0.72,0.73,0.68,0.08
"INDEPENDENT HEALTH ASSOCIATION, INC.",Independent Health,"Independent Health Association, Inc.",0.77,0.71,0.76,0.68,0.8,0.54,0.92,0.83,0.92,0.81,0.87,0.16,0.74,0.94,0.88,0.77,0.76,0.56,0.08,0.89,0.81,0.93,0.88,0.9,0.85,0.04,0.02,0.6,0,0.96,0.92,0.96,0.91,7,0.67,0.04,0.02,0.6,0,0.89,0.95,0.96,0.07,0.83,0.85,0.78,0.27
"EMPIRE HEALTHCHOICE HMO, INC.",Empire BlueCross BlueShield,Anthem Inc.,0.67,0.66,0.74,0.72,0.81,0.47,0.91,0,0,0,0,0.38,0.72,0.88,0.75,0.67,0.75,0.61,0.12,0.86,0.73,0.83,0.84,0.79,0.84,0.23,0.05,1,0,0.96,0.92,0.99,0.98,4.5,0.85,0.23,0.05,1,0,0.76,0.88,0.99,0.06,0.77,0.81,0.75,0.22
"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.58,0.56,0.65,0.69,0.8,0.48,0.89,0.98,0.98,0.99,0.99,0.28,0.73,0.9,0.77,0.54,0.76,0.72,0.1,0.8,0.68,0.84,0.82,0.78,0.82,0.27,0.13,1,0,1,0.98,0.97,0.98,0.4,0,0.27,0.13,1,0,0.77,0.86,0.99,0.05,0.76,0.77,0.71,0.44
HEALTHNOW NEW YORK INC.,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HealthNow New York Inc.,0.74,0.72,0.83,0.71,0.79,0.47,0.97,0,0,0,0,0.17,0.77,0.94,0.87,0.79,0.78,0.56,0.12,0.86,0.77,0.86,0.87,0.83,0.85,0.07,0.28,1,0,0.96,0.88,0.92,0.95,3.6,0.75,0.07,0.28,1,0,0.81,0.92,0.99,0.09,0.82,0.85,0.79,0.12
"UNITEDHEALTHCARE OF NEW YORK, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0.77,0.66,0.69,0.7,0.83,0.57,0.95,0.32,0.72,0.63,0.74,0,0.79,0.96,0.72,0.72,0.67,0.72,0.1,0.79,0.66,0.85,0.8,0.82,0.83,0.33,0.24,1,0,0.88,0.9,0.96,0.98,0,0,0.33,0.24,1,0,0.81,0,0.99,0.05,0.81,0.78,0.73,0.29
"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",0.79,0.75,0.8,0.69,0.78,0.53,0.96,0,0,0,0,0.26,0.82,0.93,0.85,0.8,0.87,0.57,0.1,0.88,0.79,0.94,0.88,0.89,0.86,0.08,0.03,1,0,0.97,0.84,0.95,0.91,-1,-1,0.08,0.03,1,0,0.86,0.91,0.99,0.05,0.81,0.87,0.82,0.24
BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,0.76,0.59,0.74,0.73,0.84,0.59,0.78,0,0,0,0,0.19,0.66,0.91,0.79,0.69,0.85,0.62,0.09,0.82,0.76,0,0.85,0.82,0.86,0.21,0.14,0.6,0,0.93,0.89,0.8,0.82,5.7,0.88,0.21,0.14,0.6,0,0.82,0.89,0.99,0.11,0.78,0.81,0.75,0.23
"AMERICA'S 1ST CHOICE HEALTH PLANS, INC.","America's 1st Choice Health Plans, Inc.","America's 1st Choice Holdings of S.C., LLC",0.68,0.59,0.7,0.65,0.74,0.47,0.91,0,0,0,0,0,0.64,0.85,0.73,0.67,0,0.59,0.1,0.86,0.75,0.89,0.86,0.84,0.89,0.16,0.19,1,0,0,0,0.96,0.99,0,0,0.16,0.19,1,0,0.83,0.91,0.99,0.15,0.77,0.74,0.71,0.47
"HEALTHKEEPERS, INC.",Anthem HealthKeepers,Anthem Inc.,0,0.75,0.73,0,0,0.6,0.97,0.42,0.94,0.85,0.95,0,0.7,0.97,0.89,0.81,0,0.58,0.05,0.79,0.74,0.89,0.85,0.84,0.83,0.66,0.1,1,0,0,0,0.93,0.96,0,0,0.66,0.1,1,0,0.85,0.91,0.99,0.03,0.77,0.79,0.75,0.11
BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Blue Cross and Blue Shield of North Carolina,0.77,0.63,0.79,0.72,0.79,0.54,0.83,0,0,0,0,0.21,0.66,0.93,0.78,0.71,0.81,0.53,0.09,0.85,0.75,0.87,0.87,0.82,0.86,0.12,0.18,0.6,0,0.94,0.93,0.8,0.82,4.5,0.67,0.12,0.18,0.6,0,0.86,0.9,0.99,0.11,0.77,0.8,0.74,0.21
"HEALTH ALLIANCE NORTHWEST HEALTH PLAN, INC.",Health Alliance Medicare,The Carle Foundation,0,0,0.72,0,0,0,0,0,0,0,0,0,0.74,0.94,0.8,0.67,0.82,0,0.07,0.82,0.8,0.9,0.88,0.84,0.88,0.2,0.13,1,0,0,0,0.96,0.94,0,0,0.2,0.13,1,0,0.86,0.91,0.97,0.05,0.79,0.83,0.79,0.21
"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANFORD HEART OF AMERICA HEALTH PLAN,Sanford Heart of America Health Plan,Sanford Health Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONNECTICARE, INC.","ConnectiCare, Inc.","EmblemHealth, Inc.",0.78,0.68,0.79,0.66,0.8,0.51,0.91,0,0,0,0,0.24,0.75,0.87,0.82,0.79,0.81,0.54,0.12,0.86,0.8,0.92,0.88,0.85,0.87,0.03,0.08,1,0,0.93,0.84,0.94,0.95,1.1,0.42,0.03,0.08,1,0,0.81,0.91,0.98,0.06,0.8,0.83,0.78,0.57
"HUMANA HEALTH COMPANY OF NEW YORK, INC.","Humana Health Company of New York, Inc.",Humana Inc.,0.57,0.58,0.59,0.75,0.79,0.4,0.9,0.61,0,0,0,0,0.49,0.91,0.51,0.62,0,0.53,0.1,0,0.78,0,0,0.81,0.87,0.98,0.26,0.6,0,0,0,0.96,0.98,0,0,0.98,0.26,0.6,0,0.83,0,0.98,0.03,0.76,0.76,0.71,0.22
"MATTHEW THORNTON HEALTH PLAN, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.99,0.98,0,0,0,0,1,0,0,0,0.99,0.06,0,0.84,0.75,0
"HEALTH NET COMMUNITY SOLUTIONS, INC.","HEALTH NET COMMUNITY SOLUTIONS, INC.","Health Net, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AETNA HEALTH, INC. (ME)",Aetna Medicare,Aetna Inc.,0.85,0.77,0.77,0.71,0.81,0.56,0.95,0,0,0,0,0.44,0.85,0.93,0.85,0.79,0.83,0.54,0.07,0.85,0.82,0.87,0.88,0.84,0.89,0.05,0.07,0.4,0,0,0,0.99,0.98,1.3,0,0.05,0.07,0.4,0,0.82,0.9,0.99,0.09,0.83,0.86,0.82,0.45
"PARAMOUNT CARE, INC.",Paramount Elite,Promedica Health System,0.77,0.69,0.77,0.68,0.78,0.48,0.95,0,0,0,0,0.3,0.78,0.92,0.88,0.82,0.87,0.64,0.09,0.85,0.78,0.92,0.88,0.88,0.83,0.05,0.02,1,0,0,0,0.7,0.7,1.6,0,0.05,0.02,1,0,0.86,0.91,0.98,0.07,0.77,0.82,0.77,0.07
COMMUNITY INSURANCE COMPANY,Anthem Blue Cross and Blue Shield,Anthem Inc.,0.68,0.63,0.66,0.71,0.76,0.46,0.92,0,0,0,0,0.39,0.63,0.91,0.78,0.79,0.82,0.62,0.12,0.8,0.73,0.85,0.84,0.82,0.85,0.09,0.04,1,0,0.97,0.95,0.99,0.98,4.6,0.82,0.09,0.04,1,0,0.82,0.89,0.99,0.06,0.79,0.82,0.78,0.23
SUMMACARE INC.,SummaCare Medicare Advantage Plans,Summa Health System,0.73,0.68,0.8,0.72,0.79,0.49,0.96,0,0,0,0,0.22,0.67,0.91,0.81,0.82,0.78,0.53,0.12,0.86,0.8,0.89,0.88,0.86,0.85,0.13,0.14,0,0,-1,-1,0.88,0.93,-1,-1,0.13,0.14,0,0,0.86,0.92,0.99,0.08,0.82,0.84,0.8,0.18
AULTCARE HEALTH INSURING CORPORATION,PrimeTime Health Plan,Aultman Health Foundation,0.77,0.72,0.79,0.66,0.77,0.47,0.96,0,0,0,0,0.32,0.77,0.92,0.89,0.85,0.82,0.53,0.1,0.86,0.79,0.96,0.88,0.89,0.88,0.05,0.02,0.6,0,1,1,0.89,0.93,0,0,0.05,0.02,0.6,0,0.87,0.94,0.98,0.06,0.82,0.85,0.8,0.32
"MOUNT CARMEL HEALTH PLAN, INC.",MediGold,Trinity Health,0.72,0.5,0.74,0.64,0.81,0.48,0.9,0,0,0,0,0.29,0.56,0.93,0.95,0.66,0.83,0.55,0.08,0.86,0.79,0.92,0.88,0.91,0.87,0.07,0.06,1,0,1,0.89,0.9,0.95,1.6,0.94,0.07,0.06,1,0,0.89,0.92,0.99,0.06,0.83,0.85,0.81,0.45
HEALTH PLAN OF THE UPPER OHIO VALLEY,The Health Plan,Health Plan of the Upper Ohio Valley,0.67,0.6,0.79,0.7,0.77,0.43,0.97,0,0,0,0,0,0.64,0.89,0.81,0.73,0.75,0.66,0.1,0.87,0.76,0.94,0.87,0.91,0.84,0.11,0.03,1,0,0,0,0.93,0.91,-1,-1,0.11,0.03,1,0,0.87,0.93,0.99,0.09,0.79,0.83,0.79,0.12
"GENERATIONS HEALTHCARE, INC.",Generations Healthcare,"Kinderhook Capital Fund III, L.P.",0.3,0.34,0.77,0.64,0.76,0.43,0.78,0,0,0,0,0,0.41,0.9,0.6,0.59,0,0.56,0.09,0.84,0.79,0.9,0.87,0.85,0.86,0.13,0.08,1,0,0.85,1,0.94,0.84,1.7,0,0.13,0.08,1,0,0.82,0.9,0.97,0.11,0.78,0.79,0.78,0.26
"OKLAHOMA SUPERIOR SELECT, INC.",Tribute Health Plan of Oklahoma,"Healthcare Investors, LLC",0,0,0,0,0,0,0,0.99,0.87,1,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.59,0.6,0,0,0,0,1,0,0,0,0.98,0.25,0,0.68,0.82,0.2
